wavelength_nm,flux_erg_cm^-2_s^-1_nm^-1
7.754476735612161065e+01,0.000000000000000000e+00
7.855211526161087932e+01,0.000000000000000000e+00
7.956131373280298646e+01,0.000000000000000000e+00
8.057313415277889135e+01,0.000000000000000000e+00
8.158884574976403314e+01,0.000000000000000000e+00
8.261069450833380756e+01,0.000000000000000000e+00
8.364306661842145729e+01,0.000000000000000000e+00
8.469583497743971634e+01,0.000000000000000000e+00
8.579684217280923519e+01,0.000000000000000000e+00
8.706691955221062074e+01,0.000000000000000000e+00
8.758558147727097776e+01,0.000000000000000000e+00
8.907737142457651203e+01,0.000000000000000000e+00
9.021800420659785402e+01,0.000000000000000000e+00
9.107195158078505415e+01,0.000000000000000000e+00
9.128453967606203889e+01,7.660541298593484075e-16
9.232326628077134956e+01,5.822764773010291543e-15
9.334856220704764951e+01,9.210053231692164279e-15
9.436635078744565419e+01,1.401573328018131935e-14
9.537951866420354463e+01,1.992182389082726585e-14
9.638964072625613255e+01,2.634991367127079889e-14
9.739764921293101452e+01,2.609515745996187737e-14
9.840413117343888416e+01,3.879343230044307648e-14
9.940947470562862520e+01,4.485024582852891423e-14
1.004139466578331792e+02,5.828370778660760327e-14
1.014177365530564572e+02,6.961003475718812694e-14
1.024209827089122911e+02,6.340807649798377932e-14
1.034237884401271259e+02,9.701926694784418890e-14
1.044262324753018447e+02,1.170042873829923715e-13
1.054283758629371732e+02,1.361031252357149527e-13
1.064302666737584531e+02,1.563199413843804794e-13
1.074319432783442636e+02,1.959648976163284684e-13
1.084334366794808204e+02,2.327232770436206016e-13
1.094347722027499401e+02,2.626106067590873340e-13
1.104359707423773500e+02,5.218385033060891122e-13
1.114370496931484666e+02,1.299962454067473100e-12
1.124380236570088556e+02,1.639801229598016156e-12
1.134389049855000451e+02,2.049085486555497799e-12
1.144397042009126579e+02,2.289194602350007693e-12
1.154404303267342158e+02,2.382600714545576430e-12
1.164410911494507417e+02,2.911569243820803964e-12
1.174416934278612246e+02,3.202548709477221916e-12
1.184422430618679698e+02,3.293444009830647818e-12
1.194427452297036751e+02,2.070399388122967766e-12
1.204432045003787124e+02,1.844890765586336340e-12
1.214436249265363870e+02,3.852213397139564957e-13
1.224440101217226839e+02,2.019849887038808092e-12
1.234443633251962211e+02,4.270100181136034519e-12
1.244446874567408940e+02,6.695898131156929767e-12
1.254449851634428512e+02,1.193722686666802197e-11
1.264452588600216814e+02,1.484707185232434877e-11
1.274455107639971629e+02,3.131220723633601586e-11
1.284457429267952193e+02,1.107214788394769821e-10
1.294459572617024037e+02,1.866859325895730409e-10
1.304461555694932144e+02,1.525788063389135266e-10
1.314463395624765667e+02,3.407181235163066183e-10
1.324465108876846386e+02,4.608208827951204847e-10
1.334466711499369183e+02,5.388789267519312862e-10
1.344468219355710517e+02,7.594163330857236956e-10
1.354469648377425415e+02,7.234553092427395128e-10
1.364471014843767875e+02,7.347286905813919185e-10
1.374472335701306349e+02,7.457163312693724194e-10
1.384473628941356083e+02,5.476656871609780639e-10
1.394474914058752404e+02,5.797652146562273972e-10
1.404476212624693403e+02,8.943072066881336080e-10
1.414477549019268565e+02,1.212764243411082871e-09
1.424478951389507415e+02,1.467913307864855151e-09
1.434480452929483931e+02,1.272720612079549383e-09
1.441481553564926230e+02,1.656771275122550789e-09
1.446482412077108961e+02,1.717472680913831722e-09
1.454483922702473251e+02,1.869101447057394859e-09
1.464486002082447840e+02,1.701012825830357785e-09
1.474488411492083060e+02,1.773446574645218364e-09
1.484491256106703361e+02,1.909892193104560155e-09
1.494494678430526164e+02,2.174217847100962428e-09
1.504498877408750843e+02,2.288574144336608847e-09
1.511502397207632669e+02,2.056625951929624301e-09
1.516505324853037280e+02,2.311756446063223705e-09
1.524510900351100986e+02,2.607717961529058022e-09
1.534519841074698547e+02,3.174920318672650373e-09
1.544532114049880533e+02,3.759443951792279545e-09
1.554549821383191670e+02,2.520733580137521325e-09
1.564577256145628894e+02,2.098304576514150692e-09
1.574624768803175812e+02,3.449872336892788136e-09
1.584725286308500358e+02,4.376213949212051887e-09
1.595069746248584295e+02,4.909531590182889171e-09
1.601262317252262619e+02,4.984753822493197882e-09
1.613980618367248496e+02,4.995181480768021986e-09
1.624188319359794832e+02,4.226828666143680719e-09
1.634263968079103790e+02,4.504640424310756303e-09
1.644302621913279268e+02,5.711677936886699996e-09
1.654325744172024599e+02,4.154956194589481014e-09
1.664340876424971327e+02,5.552752441234918608e-09
1.671348547089960448e+02,3.822577735895395085e-09
1.676353023056050517e+02,5.081194266769550863e-09
1.684358870346308663e+02,5.724601955152093269e-09
1.694364392020168566e+02,4.878261044120135911e-09
1.704368498639244649e+02,4.883031359795544631e-09
1.714371564095783071e+02,4.979551951883866659e-09
1.724373839622192577e+02,4.887438172631719523e-09
1.734375500357114674e+02,5.179225498740918119e-09
1.744376672190083184e+02,5.039010351637802374e-09
1.754377447986980485e+02,5.538983951412203949e-09
1.764377897794335581e+02,4.795073027485584062e-09
1.774378075477542893e+02,5.501346452102128502e-09
1.784378023167206493e+02,5.437857565615393720e-09
1.794377774313991551e+02,5.883809008857595856e-09
1.804377355834981813e+02,5.695778052321530935e-09
1.814376789651968238e+02,5.664315623078991717e-09
1.824376093813654052e+02,5.522586534707104470e-09
1.834375283327498209e+02,5.425767305270992909e-09
1.844374370785262158e+02,5.066600746401610573e-09
1.854373366839640767e+02,5.382127410486510150e-09
1.864372280571790839e+02,5.364159172233806246e-09
1.874371119777862873e+02,5.674349022736264799e-09
1.884369891194637319e+02,5.656178525915756507e-09
1.894368600678935195e+02,5.685618686800341948e-09
1.904367253351375666e+02,5.402569831182410178e-09
1.914365853712660908e+02,5.743046636867901971e-09
1.924364405738229493e+02,5.897824785656234561e-09
1.934362912955891147e+02,5.868985433018765171e-09
1.944361378509904057e+02,6.066457552106222492e-09
1.954359805214209302e+02,5.994250505831942000e-09
1.966357839006838049e+02,6.154022037398278541e-09
1.975356446805409121e+02,6.029209700080140168e-09
1.983354984222053758e+02,5.983523240445461980e-09
1.994353170552847700e+02,5.830737488732799270e-09
2.004351436404936067e+02,5.821491710130337910e-09
2.014349675412115062e+02,5.690743364931284590e-09
2.024347889000423493e+02,5.656053786351148589e-09
2.034346078479324547e+02,5.881574909690294626e-09
2.044344245054256817e+02,6.133266026114459852e-09
2.054342389837557619e+02,5.912845561980492049e-09
2.064340513857994779e+02,5.892125241547609734e-09
2.073338747490141998e+02,6.081120396486255365e-09
2.077338076115441368e+02,6.244207445157284652e-09
2.084336703356569558e+02,6.204721436588512619e-09
2.094334770544585353e+02,6.088806435264165638e-09
2.104332820401661195e+02,6.018152517106912649e-09
2.114330853645633397e+02,6.041587564017904412e-09
2.124328870948167207e+02,6.176406423783962891e-09
2.134326872938752331e+02,5.428194412079157810e-09
2.144324860208319024e+02,6.013082216453432566e-09
2.154322833312378975e+02,6.077209694998814994e-09
2.164320792773939104e+02,5.846607672881604120e-09
2.174318739086074856e+02,5.808422106033993401e-09
2.184316672714260221e+02,5.864488349741541392e-09
2.194314594098469513e+02,6.166960076606148171e-09
2.204312503655083333e+02,5.991422829322014613e-09
2.214310401778612629e+02,5.589528652184754619e-09
2.224308288843271271e+02,5.621944376039026401e-09
2.234306165204398553e+02,6.178091668359670145e-09
2.244304031199765177e+02,5.633297661279929127e-09
2.254301887150751043e+02,5.608880291436999689e-09
2.264299733363473877e+02,5.656451191130762071e-09
2.274297570129724591e+02,6.030161154627440401e-09
2.284295397727924808e+02,6.220026619579639545e-09
2.294293216423955926e+02,5.920799209874074224e-09
2.304291026471934742e+02,5.819136218534262364e-09
2.314288828114928549e+02,5.727974145372807178e-09
2.324286621585611101e+02,5.775405333767982323e-09
2.334284407106875676e+02,5.707816791721808926e-09
2.344282184892397254e+02,5.435802731503015450e-09
2.354279955147154055e+02,5.944791593236944218e-09
2.364277718067916396e+02,5.546988510268549430e-09
2.374275473843683244e+02,5.759670936453604856e-09
2.384273222656143787e+02,5.368539888871675888e-09
2.394270964680009399e+02,5.830804906087861618e-09
2.404268700083414387e+02,5.556885103493151795e-09
2.414266429028247387e+02,5.734974657966329081e-09
2.424264151670469687e+02,5.929574888616883184e-09
2.434261868160409392e+02,5.695736812742724608e-09
2.444259578643041664e+02,6.039448145358470478e-09
2.454257283258250482e+02,5.837207622275382057e-09
2.464254982141067671e+02,5.844967598152595489e-09
2.474252675421909373e+02,5.732554688000765284e-09
2.484250363226784089e+02,6.081337789513762857e-09
2.494248045677499590e+02,5.964679252025352032e-09
2.504245722891844252e+02,6.405056142829077612e-09
2.512243891480330547e+02,5.976263555654564164e-09
2.517242726139580213e+02,6.123056050520169355e-09
2.524241062063680090e+02,5.800825374995252283e-09
2.534238724238267935e+02,5.823148620209812865e-09
2.544236381611024171e+02,5.924093495748223658e-09
2.554234034282192169e+02,6.292759064595909412e-09
2.564231682348944332e+02,6.294289152032864519e-09
2.574229325905504311e+02,6.618504259159322487e-09
2.584226965043276323e+02,6.647775278196909257e-09
2.594224599850947470e+02,6.629720608117780876e-09
2.604222230414608248e+02,6.446386165341209402e-09
2.614219856817849177e+02,6.498536052842634465e-09
2.624217479141850049e+02,6.670376929712453873e-09
2.634215097465513509e+02,6.675009509757391007e-09
2.644212711865491201e+02,7.203934317384997297e-09
2.654210322416312238e+02,7.055591524583299188e-09
2.664207929190447999e+02,6.790711234048856689e-09
2.674205532258392850e+02,6.970988489331874463e-09
2.684203131688732356e+02,7.023520475223541741e-09
2.694200727548218310e+02,6.885890446253029226e-09
2.704198319901827290e+02,6.962113416948337983e-09
2.714195908812831135e+02,6.802261518019513501e-09
2.724193494342852091e+02,6.856458833046048433e-09
2.734191076551921924e+02,7.285364218777655706e-09
2.744188655498536491e+02,6.657461331465028489e-09
2.754186231239698941e+02,6.656950498467868366e-09
2.764183803831008959e+02,6.867716769477346161e-09
2.774181373326651965e+02,7.160801629647612319e-09
2.784178939779486086e+02,7.207388425009560327e-09
2.794176503241070009e+02,6.051462137036690107e-09
2.804174063761714137e+02,6.723563128775787146e-09
2.814171621390515838e+02,7.441279830512619996e-09
2.824169176175398661e+02,7.417651165417742795e-09
2.834166728163150424e+02,7.245999104006587149e-09
2.844164277399459024e+02,7.091189716084046938e-09
2.854161823928947115e+02,7.125521693678641239e-09
2.864159367795202229e+02,7.350561391117282870e-09
2.874156909040815435e+02,7.174891150304002709e-09
2.884154447707391000e+02,7.396960434151113380e-09
2.894151983835627107e+02,7.265015618115492863e-09
2.909148283355316948e+02,7.755180304176216729e-09
2.929143340861101592e+02,7.594320446896642127e-09
2.949138388901175176e+02,7.681499577487932081e-09
2.969133427760299355e+02,7.744226943270670758e-09
2.989128457711136662e+02,7.857900246757411057e-09
3.009123479014962186e+02,8.018531335781778603e-09
3.029118491922275780e+02,8.028229522571455573e-09
3.049113496673383565e+02,8.040547560771525625e-09
3.069108493498923735e+02,7.989709117083181164e-09
3.089103482620422483e+02,8.106892195244909018e-09
3.109098464250699294e+02,8.087276251971433883e-09
3.129093438594350118e+02,8.155330275849838627e-09
3.149088405848156071e+02,8.240371393719261224e-09
3.169083366201467129e+02,8.266777225938015586e-09
3.189078319836557966e+02,8.185995029685301668e-09
3.209073266929013357e+02,8.352568121511526712e-09
3.229068207647985105e+02,8.395027249812318989e-09
3.249063142156538788e+02,8.440329681361965464e-09
3.269058070611926041e+02,8.469190698150233080e-09
3.289052993165855128e+02,8.589530385463933936e-09
3.309047909964741052e+02,8.627677581527006537e-09
3.329042821149936344e+02,8.575844598747519770e-09
3.349037726857999360e+02,8.528864225294373682e-09
3.369032627220842642e+02,8.666248093577132119e-09
3.389027522365973937e+02,8.641899359577698397e-09
3.409022412416683210e+02,8.860265210553825144e-09
3.429017297492215448e+02,8.865717718468541729e-09
3.449012177707939486e+02,8.892302770623914756e-09
3.469007053175542410e+02,8.885992308814560838e-09
3.489001924003125055e+02,8.922130228533268228e-09
3.508996790295394703e+02,9.023388809960285895e-09
3.528991652153783889e+02,9.136035713677492324e-09
3.548986509676586820e+02,9.082167578183407825e-09
3.568981362959074204e+02,9.145610879777045057e-09
3.588976212093653544e+02,9.205035141905078998e-09
3.608971057169918026e+02,9.221103522442983536e-09
3.628965898274796587e+02,9.230974574099026431e-09
3.638963317364426757e+02,9.272581690327734466e-09
3.648960735492649405e+02,9.261699967074589374e-09
3.668955568905359996e+02,9.368110891650032444e-09
3.688950398592424449e+02,9.292465915784660186e-09
3.708945224631073643e+02,9.157310647323057722e-09
3.728940047096303374e+02,8.902175210699715726e-09
3.748934866060993158e+02,1.027181940429636909e-08
3.768929681595973875e+02,1.077357034291803917e-08
3.788924493770103368e+02,1.327242732927782308e-08
3.808919302650322720e+02,1.603985285278844597e-08
3.828914108301768238e+02,1.290593708537769474e-08
3.848908910787771447e+02,1.862683139457909617e-08
3.868903710169968235e+02,2.233102603662780727e-08
3.888898506508340347e+02,1.132944547650661457e-08
3.908893299861275636e+02,2.314038666606047169e-08
3.928888090285621502e+02,2.712601110846014794e-08
3.948882877836726379e+02,2.370911084029086219e-08
3.968877662568535811e+02,1.144999220707936980e-08
3.988872444533566295e+02,2.243394435180608488e-08
4.008867223783006466e+02,2.832666933471540209e-08
4.028862000366743246e+02,2.919588261663208532e-08
4.048856774333402200e+02,2.885361925231927221e-08
4.068851545730385055e+02,2.660707994831240213e-08
4.088846314603941892e+02,1.770878010216007728e-08
4.108841080999154656e+02,1.331666819692919737e-08
4.128835844960006511e+02,2.488621354812594594e-08
4.148830606529410829e+02,2.800746692455900449e-08
4.168825365749247567e+02,2.842873745698579754e-08
4.188820122660376910e+02,2.850746947739169227e-08
4.208814877302717150e+02,2.832666515944881906e-08
4.228809629715208871e+02,2.813586670062179842e-08
4.248804379935891120e+02,2.788991078301326208e-08
4.268799128001908798e+02,2.742920390017393701e-08
4.288793873949548470e+02,2.703717055999706643e-08
4.308788617814250870e+02,2.449834122769985836e-08
4.328783359630668883e+02,1.591645226764711531e-08
4.348778099432644240e+02,1.357985218876296549e-08
4.368772837253257535e+02,2.351134035214811827e-08
4.388767573124850969e+02,2.581412169988322475e-08
4.408762307079039715e+02,2.646018500273948598e-08
4.428757039146741477e+02,2.663769530052187869e-08
4.448751769358178763e+02,2.677911196857572657e-08
4.468746497742948236e+02,2.660679845267999974e-08
4.488741224329962165e+02,2.600950807419759931e-08
4.508735949147527435e+02,2.607115638809842531e-08
4.528730672223335318e+02,2.610201909241805146e-08
4.548725393584484777e+02,2.572999644064868592e-08
4.568720113257493836e+02,2.575237582704300445e-08
4.588714831268345620e+02,2.564137436072685882e-08
4.608709547642450275e+02,2.572641430549523834e-08
4.628704262404695555e+02,2.537561060776217022e-08
4.648698975579454782e+02,2.546525675431083688e-08
4.668693687190592527e+02,2.523098500664103734e-08
4.688688397261483942e+02,2.495855359097057783e-08
4.708683105815048293e+02,2.442367845263740427e-08
4.728677812873712583e+02,2.481485262960341457e-08
4.748672518459460434e+02,2.463465000097303191e-08
4.768667222593840052e+02,2.442612385196114308e-08
4.788661925297964217e+02,2.411928820327404208e-08
4.808656626592517682e+02,2.337895723317211973e-08
4.828651326497805485e+02,2.129574753508424181e-08
4.848646025033711453e+02,1.496640461654319179e-08
4.868640722219735153e+02,1.231771867750129566e-08
4.888635418074998711e+02,2.002246406595092617e-08
4.908630112618255339e+02,2.260380346161466085e-08
4.928624805867898431e+02,2.308250605533779104e-08
4.948619497841963266e+02,2.330205021998798431e-08
4.968614188558165665e+02,2.329933984306735199e-08
4.988608878033865039e+02,2.337795568493882782e-08
5.008603566286096793e+02,2.311691134517237394e-08
5.028598253331581986e+02,2.302653270996065078e-08
5.048592939186730177e+02,2.284210546159171374e-08
5.068587623867637149e+02,2.283236871127271711e-08
5.088582307390132087e+02,2.277465811248029825e-08
5.108576989769723014e+02,2.259541541541774158e-08
5.128571671021649081e+02,2.257092859662466418e-08
5.148566351160865224e+02,2.252153303071352862e-08
5.168561030202067741e+02,2.214377125332737074e-08
5.188555708159668711e+02,2.216098692609158585e-08
5.208550385047859663e+02,2.224403408163922727e-08
5.228545060880544497e+02,2.188371215645306030e-08
5.248539735671396329e+02,2.184695921898137034e-08
5.268534409433843848e+02,2.185007129053174496e-08
5.288529082181082686e+02,2.168610689753007419e-08
5.308523753926076552e+02,2.141776160717288383e-08
5.328518424681553824e+02,2.159746915924865805e-08
5.348513094460055299e+02,2.139928144581871099e-08
5.368507763273876208e+02,2.128018770508164636e-08
5.388502431135109418e+02,2.120751252142485021e-08
5.408497098055640890e+02,2.111739933660327117e-08
5.428491764047158767e+02,2.099256946690962711e-08
5.448486429121143146e+02,2.088971844564080866e-08
5.468481093288909278e+02,2.079831857880514885e-08
5.488475756561554135e+02,2.067459524073862020e-08
5.508470418949999612e+02,2.054315449144808935e-08
5.528465080464991388e+02,2.044321111470785291e-08
5.548459741117088697e+02,2.033573990015699794e-08
5.568454400916677969e+02,2.032052447054790614e-08
5.588449059873998976e+02,2.026244993917164997e-08
5.608443717999092542e+02,2.014451576274605556e-08
5.628438375301855103e+02,1.997980473047228807e-08
5.648433031792017118e+02,1.987817773129015787e-08
5.668427687479158976e+02,1.983732825354247092e-08
5.688422342372690537e+02,1.971461357222674664e-08
5.708416996481905699e+02,1.964025301855763864e-08
5.728411649815922146e+02,1.947007162962095191e-08
5.748406302383721140e+02,1.941915086004055252e-08
