rho_core_over_rho_core_sun,BP_RP_model,M_G_model,log10_g_cm_s2,T_photo_K
1e-05,1.806529728802456,9.555435137129942,1.5057682839098678,1855.0056215345528
1e-05,1.702263029419574,7.278380851989812,1.7351629502579136,2406.980347517081
1e-05,1.6732074476272787,6.776973456298378,1.7794561249755607,2566.849752401583
1e-05,1.6399438316619284,6.254662279791797,1.8235196991818707,2751.423368553728
1e-05,1.600399780505839,5.708791534796001,1.8661006910141669,2971.52382799815
1e-05,1.556392695368425,5.147456546582773,1.9098292977082856,3215.190527699441
1e-05,1.837286994910276,11.576050995474088,1.1764314369477344,1701.7775639344688
1e-05,1.7992162474834725,10.077562841805765,1.3840298710583778,1892.199063631716
1e-05,1.7794566624679695,9.482791953690997,1.4575389823764333,1994.0204517856375
1e-05,1.6962790684464448,7.766698563097217,1.62556194337207,2439.7630053009957
1e-05,1.6592929269211187,7.173497447830888,1.6745085118488123,2643.9155897693977
1e-05,1.572580076807801,5.9920363100813105,1.7654252592987958,3125.8658769570166
1e-05,1.5203547927442447,5.404367404723487,1.8065670545845653,3412.068672994589
1e-05,1.782811581008367,10.476569170943844,1.266645638676565,1976.6009929254092
1e-05,1.7503398337715783,9.566483902834122,1.3767247489974177,2147.2584184602447
1e-05,1.6751217507038567,8.158773738158514,1.506871721360684,2556.268841336154
1e-05,1.5354818264070607,6.27463881333786,1.6537130121044457,3329.816034605634
1e-05,1.483868636577816,5.722368526398726,1.6948505775181837,3607.551078162569
1e-05,1.436112757579915,5.209075407059104,1.7397809723689268,3855.563090322981
1e-05,1.5580270717217668,7.384173504545515,1.464667499468679,3206.1926879454236
1e-05,1.5110315555768392,6.809462024871093,1.5127803760309428,3462.4378001770465
1e-05,1.4706154763543349,6.304745310982617,1.5617943249253305,3677.360130289883
1e-05,1.4274689427158491,5.792767414846177,1.6129543571504896,3899.3314767029055
1e-05,1.3755542026378274,5.236088514117919,1.6697291416262612,4153.853576808657
1e-05,1.469660024000269,7.329051580026949,1.355701767736896,3682.3654146406393
1e-05,1.3483349487264118,7.169356857051408,1.2566889854458818,4281.054078424718
1e-05,1.2938456085919399,6.28805640068589,1.3854311048502848,4521.455797945699
1e-05,1.2417152040260953,5.589222560441181,1.4855412124353653,4732.578406447204
1e-05,1.1917648015746056,5.001665074990828,1.5697662657767981,4916.974428548862
1e-05,1.2632795237300645,7.205393191792647,1.1781871241768502,4647.5403839736455
0.01,2.247068337083429,27.327804948558985,2.4402988196599122,334.1922616731047
0.01,2.2224376337561673,26.077217043375676,2.580758986203252,379.0238779797171
0.01,2.197464670066196,24.917615704483033,2.7052711485151297,428.90879529228636
0.01,2.1513126636628437,23.04948290310974,2.8893790208589487,533.4759946458813
0.01,2.1354144976416953,22.476502166327492,2.9416851544065157,573.3659200367172
0.01,2.118544149132539,21.902621543662512,2.9911133103439145,617.9266598209252
0.01,2.101714491017259,21.36314628606152,3.0359380526358137,664.7014505267703
0.01,2.0849625618857885,20.83840633859935,3.0790716254529364,713.5886703853323
0.01,2.0689885225077145,20.333831097043955,3.122728604813068,762.3866706882108
0.01,2.053730912178387,19.851472979652584,3.1653372900529533,810.9934207189918
0.01,2.0373986911282995,19.353940222917714,3.208665033974995,865.1897506797625
0.01,2.01684926668743,18.79143648698205,3.2522646972862406,936.5569313709198
0.01,1.9935823898306386,18.200820478226227,3.294938045859481,1021.6062670503585
0.01,1.8518805081236955,14.63624502662321,3.6016983362158674,1631.012249586968
0.01,1.8351182982695613,14.203361565034198,3.6457194082095943,1712.4040538288323
0.01,1.8134409230756565,13.717554156381036,3.6898924612746002,1820.1166742992282
0.01,1.7920992571899383,13.246801599771407,3.733990061399396,1928.654415172876
0.01,1.7401647624900063,12.012286982199132,3.86600035748825,2201.601244685013
0.01,1.680547848140419,10.756867754402286,3.997361881790808,2526.3097258571265
0.01,1.6569157464656878,10.305188437569893,4.044195414850892,2657.1055691136685
0.01,1.468198341117383,7.939440297208147,4.23219225625364,3690.015316703113
0.01,2.2181244940942846,26.95494822443974,2.386428754361933,387.3153267430961
0.01,2.2040708542204266,26.218467015481302,2.4732291062256757,415.26744154069854
0.01,2.1907893633117053,25.55897162137329,2.5489872255447596,443.0238068691177
0.01,2.178261366315743,24.953840120236784,2.617987680500079,470.42429354170986
0.01,2.1657643944448495,24.36567064675456,2.684383696517788,498.9577859262336
0.01,2.134084403713604,22.982475630949793,2.835234136356607,576.7952999867885
0.01,2.0869651139251815,21.388903496574912,2.9762761833867155,707.6216806893301
0.01,2.0241376819457924,19.582612734972457,3.118368509205453,910.840449613134
0.01,2.0017080802418366,18.995411056523622,3.16186065844773,991.3945477000314
0.01,1.9363787659551197,17.35326423779594,3.289490152128149,1249.4157840365633
0.01,1.8227031790106614,14.497913015679087,3.5561186092105146,1773.7673421898235
0.01,1.7853831549478636,13.611479030653593,3.6454762716365474,1963.284344377657
0.01,1.7344624188680822,12.393604229625844,3.777643332988528,2232.216904056338
0.01,1.6735887333797805,11.130960211868029,3.9096059352430945,2564.7418182854144
0.01,1.6500579587922781,10.694939541671314,3.953461215789645,2695.188287606438
0.01,1.5034990308632745,8.69753807561043,4.1255956330461885,3502.933532007229
0.01,2.1619147226071758,25.116907760020986,2.518586515994058,507.9922589279063
0.01,2.1484185572243977,24.370572655142908,2.6136950797397946,540.58710727714
0.01,2.1302945288627924,23.572152858018498,2.7024714049981773,586.6452068699324
0.01,2.1128103717941493,22.91281667410758,2.7674320321107793,633.6007197406141
0.01,2.0944251072489255,22.26320175172863,2.828704465197381,685.6873288350268
0.01,2.0121551131033355,19.853592370719504,3.0245695468412706,953.3542895479152
0.01,1.9904433293652433,19.29020276270907,3.0670435779210083,1033.4229615513048
0.01,1.9705865936950278,18.768784246263294,3.1091224483614193,1110.0350552492564
0.01,1.950191874373073,18.247434302033454,3.151763329205509,1192.0249923525241
0.01,1.9308361820983837,17.750329494721015,3.194038196635476,1272.8584897946569
0.01,1.8521965772020323,15.776490333860325,3.37429935022936,1629.4941827947137
0.01,1.8324127698115094,15.29605986253018,3.42060933736916,1725.7000623088222
0.01,1.797240561112513,14.421171395773014,3.5109237576063324,1902.2936792636226
0.01,1.7652338582265894,13.611688847483121,3.5998780234566325,2068.428880225563
0.01,1.686428726172191,11.912017397839783,3.7774085282488348,2493.898305810996
0.01,1.6654073843009805,11.495365548358585,3.821453736415605,2610.019053703683
0.01,1.6406689889467132,11.051753524476045,3.8654439449550897,2747.3892676741143
0.01,1.5277391284961617,9.457404855712095,4.006610575769894,3371.9940995125876
0.01,1.2462604836231483,7.07079467875319,4.192490952655832,4714.925878074132
0.01,2.067106054910115,21.997792409288294,2.7830480728827225,768.2780638157881
0.01,2.027662326027618,20.857242576735473,2.875074259623024,898.5632834427046
0.01,1.9869573849745328,19.76243758213765,2.9613612992495923,1046.6401507857042
0.01,1.926455839229045,18.196319782986905,3.092139129858264,1291.5511759159097
0.01,1.903500847471151,17.639902050289386,3.1385830850740293,1391.855497808635
0.01,1.8815732191838819,17.10313749705479,3.1860931318466594,1491.2292372974487
0.01,1.8413805906174776,16.10713752431395,3.2807003797223455,1681.7959766509348
0.01,1.8096217003898578,15.257329001126694,3.372722579516747,1839.3652312672136
0.01,1.7760857156293088,14.415903452375199,3.463387431551127,2011.575052861983
0.01,1.7389632264540291,13.556622627048805,3.5543829603125263,2208.0429360213093
0.01,1.7204985404208226,13.138579365585892,3.5994542620722125,2307.6369777286122
0.01,1.6808022876080349,12.302602222124726,3.6884563715266516,2524.9061237195897
0.01,1.656261288969196,11.853183292993865,3.73280759786397,2660.7379358125067
0.01,1.6264006726537723,11.370926152020402,3.7770902104188484,2826.803979357251
0.01,1.5572611238944936,10.376527363448709,3.8653707767352383,3210.4101440758986
0.01,1.5199431045287555,9.888155218479032,3.90935006381515,3414.2983239882888
