rho_core_over_rho_core_sun,T_photo_K,log10_g_cm_s2,log10_L_over_Lsun
0.1,13603.520961935727,4.400655017437709,-0.6394692511815074
0.1,6953.701559722551,3.8706278224576387,-2.865312219172216
0.1,7511.221428674856,3.979911882801414,-2.5129223599391235
0.1,8900.587307294962,4.143745502374939,-1.8899848162013606
0.1,12764.76725889317,4.305732644273377,-0.9398159823420417
0.1,14509.065861238892,4.351671846156235,-0.6256751359374614
0.1,16475.053024195393,4.397415887800914,-0.31297102558910145
0.1,18692.115519353076,4.443187964694125,-0.002045711637608139
0.1,7386.155150115759,3.804333598266557,-2.892844530175635
0.1,7969.312244173101,3.9246465458426094,-2.5202918662700338
0.1,8620.669237564203,4.0155849858130495,-2.2017446057887735
0.1,9499.671343213504,4.09370377557167,-1.8768521051517035
0.1,10609.839857312247,4.157558266249455,-1.5575113974672181
0.1,12028.113919270576,4.206725301820942,-1.2410699293992609
0.1,15510.644084177446,4.300669996511319,-0.6117835325286104
0.1,17588.920258055685,4.347359602793814,-0.2992949596143662
0.1,7812.523408808242,3.72775517811959,-2.9488478886013016
0.1,8492.28857334699,3.8646035663601594,-2.530228127485932
0.1,9187.54200876129,3.9647849540975635,-2.193247231445822
0.1,10145.081961886335,4.04279172184877,-1.864360853337322
0.1,12933.281509713564,4.150238196720505,-1.2276884021301608
0.1,14668.7509097376,4.1986273368824385,-0.9121656638633889
0.1,16629.60660486008,4.246814882358174,-0.5980321096457696
0.1,18840.015669388064,4.294801814921668,-0.28554390605784424
0.1,8610.511624334024,3.7140718110501663,-2.8067757395828874
0.1,9020.812840556493,3.8013965218961747,-2.5515439728965195
0.1,9830.868741507873,3.9074540091486645,-2.1902902275997693
0.1,12350.994569541825,4.036532930244797,-1.5352560275536875
0.1,17911.168734481587,4.188748266664153,-0.5853766410769782
0.1,20249.89999499809,4.238532375286356,-0.2723424004407472
0.1,9595.942724314105,3.7256445232484046,-2.5952329362350373
0.1,11907.539029704469,3.9041954573522153,-1.863629891195016
0.1,13461.029788085956,3.960913736991125,-1.537458972135047
0.1,17177.170645354094,4.070372453054064,-0.8944562495592921
0.1,19396.62563495575,4.123748884419562,-0.5769169233564443
0.1,21882.880902294997,4.176726461355697,-0.26180111765164127
0.1,11489.411174358604,3.7302584575760798,-2.2736053082359238
0.1,13010.65865083469,3.799508541042508,-1.918790971876154
0.1,14716.780808573645,3.865084848774661,-1.574258397380765
0.1,16618.672352441492,3.9278397086899295,-1.237604445613046
0.1,18743.45105805683,3.9885538595484746,-0.9070749066211209
0.1,21111.525103222262,4.047702745289946,-0.5816056020833374
0.1,20410.80270908568,3.8806875057091808,-0.9747064210380162
0.1,23002.00313596698,3.9511110602543296,-0.6256899300623483
0.1,25876.84241528297,4.018413003405621,-0.28707574093642124
0.1,31399.788810452337,3.9808042847262444,-0.025973462319304967
1.0,5654.3653690030715,5.202868118572814,-2.559875308268454
1.0,6740.283748242298,5.071638568927278,-2.517061984109789
1.0,7628.924565433757,5.123303401136838,-2.1991882489988033
1.0,6382.943750387049,4.967121938262482,-2.820957285625605
1.0,9182.745434677994,5.127938600507532,-1.8676225508347863
1.0,7591.72735289618,4.982597431717894,-2.4885646294691934
1.0,7177.303297284352,4.879384869221806,-2.7923405514438233
1.0,7623.451881503086,4.834304676049356,-2.7780516289035884
1.0,10256.683990661031,4.901292793378905,-2.1284605164638304
1.0,8603.732140585282,4.743671710371075,-2.7496251753099035
1.0,9645.818516772815,4.8029611387843305,-2.431571276488439
1.0,14137.155784144403,4.946054324674035,-1.4817001120044837
1.0,16098.5004812576,4.990765922727594,-1.16673580214964
1.0,20829.695743544158,5.079978708656718,-0.5406481046198247
1.0,9158.77612657523,4.695954336269174,-2.735610962248108
1.0,11627.031661763232,4.806868127599158,-2.100058481064833
1.0,13237.007473321528,4.852332469346642,-1.7835707118364983
1.0,15065.777214407988,4.897659329954834,-1.467869563277146
1.0,17146.262619734916,4.942873843547093,-1.153177716708763
1.0,19496.539946955385,4.987974604368143,-0.8397762061294943
1.0,22144.02922542899,5.032966108860645,-0.5279638572200777
1.0,9747.067315230357,4.648951089299709,-2.72173234911798
1.0,12435.298454667683,4.755441799684769,-2.0859478806946665
1.0,14145.889914040501,4.801658277829853,-1.769540098808557
1.0,16088.462077877253,4.847596719279453,-1.4540260580404283
1.0,18293.672954411526,4.893443622957065,-1.139584720408374
1.0,20780.025137367837,4.939185020449407,-0.8265424478976777
1.0,23584.490760648892,4.984792031049965,-0.5151729003941073
1.0,26741.470190379714,5.030306367412054,-0.20586562229068928
1.0,11744.784616115092,4.653371245624152,-2.3894573266658927
1.0,13345.206999024565,4.700929355382963,-2.0722145600056248
1.0,15162.795466133546,4.748185601061882,-1.755759071355653
1.0,17228.859865081984,4.795150853164212,-1.4402876509040483
1.0,19558.752158983025,4.841895196329988,-1.1260240126761383
1.0,22192.33690948249,4.888509982066889,-0.8132415622636396
1.0,25165.81137166931,4.934964626155841,-0.5022399966633823
1.0,28496.533424982095,4.981366119054229,-0.19337302463297038
1.0,18511.717998085758,4.739201180586994,-1.4271727270704255
1.0,20991.758590269706,4.787220195401199,-1.1128300846263828
1.0,23781.99095598397,4.835217515008112,-0.8000740207343763
1.0,26919.429588837225,4.882860309810027,-0.48924494158223003
1.0,12156.187373857885,4.471082772606816,-2.693925052333382
1.0,13766.857934918848,4.523941493296192,-2.3719945907110773
1.0,15592.424606793667,4.575939413580763,-2.051774604647269
1.0,17656.589526324882,4.627178996139092,-1.7332188058006588
1.0,19983.19492102066,4.6779782964424,-1.416260492204392
1.0,22619.0615702887,4.728101259026108,-1.1011130679986054
1.0,25589.80014001163,4.777769401641778,-0.787855208005526
1.0,28907.032994528596,4.827396257596931,-0.47667565986667687
1.0,13297.844662833624,4.382418146754098,-2.7152999857578894
1.0,15042.137772826225,4.4411336412304845,-2.3840413933807323
1.0,17003.246740322997,4.498111848941374,-2.0568952917441425
1.0,19217.22117650304,4.553631597557784,-1.7331776611931689
1.0,21707.679086091626,4.608163791588128,-1.4123776290121108
1.0,24523.217826566895,4.661380476100591,-1.0944999000935896
1.0,27667.74761135745,4.714341105133888,-0.7790635285742286
1.0,31173.327819516846,4.7667998144870865,-0.4662636315252743
1.0,35107.14600192844,4.818794126090259,-0.15607739572259924
1.0,14487.684537095129,4.261630913223142,-2.807900171532653
1.0,16432.153988222384,4.331541358281223,-2.4496468884737634
1.0,18593.26742437551,4.398248937602268,-2.1016220177096603
1.0,21010.13947199401,4.461716059007426,-1.7625344597296129
1.0,23696.48937304757,4.523256017852976,-1.4299133501449093
1.0,26714.654436875844,4.582651233198957,-1.1032310855093586
1.0,30072.148737078125,4.640816983118118,-0.7812078111175625
1.0,33808.61886143314,4.697787254744812,-0.4634296704038599
1.0,37971.0841901784,4.7543539685199185,-0.14909204718156294
1.0,25785.949437476418,4.409608217779871,-1.5106176404867655
1.0,29100.470015512987,4.481108197184865,-1.1575084129656774
1.0,32749.420847163023,4.549254400121985,-0.8158926716521097
1.0,41209.89364975263,4.678518675916887,-0.15787320091259166
1.0,39753.68876922974,4.503519647652995,-0.5711496649205844
1.0,44621.42744324818,4.582195184755056,-0.2129659378863539
10.0,10629.203051180142,5.447407595634562,-2.9743034928673335
10.0,19059.10044376751,5.580418159675929,-1.693722172178999
10.0,17810.920706078465,5.488690241099294,-1.9955369312524078
10.0,33876.52790186549,5.711308081528292,-0.43322783077769056
10.0,38406.765428541716,5.755575454582666,-0.12678720943276098
10.0,12856.791095412693,5.303655771919425,-2.9315885759840565
10.0,14639.697502541903,5.349278507005951,-2.61436444186805
10.0,16675.564099357056,5.394712088648429,-2.2976969187261442
10.0,18983.67013202591,5.440050320125039,-1.9817604784032044
10.0,31713.750483154712,5.620087557293488,-0.7301993418598316
10.0,35967.810611239336,5.664837278676715,-0.42196806464002085
10.0,40739.7224858211,5.709525639882366,-0.11635853600252398
10.0,13771.295600699827,5.251015958895318,-2.917591425958614
10.0,15665.076463679077,5.29745096009033,-2.600369638527452
10.0,17829.053981858222,5.343564128954552,-2.283814630633886
10.0,20276.45524953648,5.389618103799149,-1.9680422530041868
10.0,23049.623061958824,5.4354509251278404,-1.653319319246714
10.0,26199.86027615926,5.481072788222017,-1.3398722480193026
10.0,29754.885847173417,5.52663574001604,-1.0280494869721808
10.0,33755.83211295548,5.572066033498938,-0.7181568714695475
10.0,38244.42433896795,5.617397964798819,-0.41061564211514484
10.0,43253.82335662054,5.662698720737105,-0.10575348654311319
10.0,14798.657842490991,5.194893953610542,-2.904277981135083
10.0,16821.58712655758,5.242403785964781,-2.586882837434908
10.0,19117.04519607913,5.289705921148845,-2.2702449588121727
10.0,21718.546381041484,5.3366400778369165,-1.9545504410982042
