rho_core_over_rho_core_sun,T_photo_K,log10_g_cm_s2,log10_L_over_Lsun
0.1,2556.4859467605156,3.7651494132633427,-4.814320203775713
0.1,3229.132731040375,3.957636809548111,-4.023391929587271
0.1,3652.845880729738,4.0494720227910435,-3.625989763569132
0.1,3883.966584647146,4.094394723946859,-3.429680758001213
0.1,1846.8010052185589,3.1112138266692924,-6.687473226202565
0.1,1970.939426146743,3.2289622587150872,-6.3382396006152195
0.1,2170.3458586451093,3.410512837522874,-5.808248183949042
0.1,2270.9972940823322,3.4811806800691247,-5.588416535359359
0.1,2480.4940658101723,3.5990350940974682,-5.198966703796872
0.1,2612.4362316810398,3.655351142203951,-4.996676051289695
0.1,2766.963957815257,3.709439189840614,-4.7884978127666695
0.1,3129.644959455923,3.8119988170961134,-4.369336470048681
0.1,4026.9046625885917,3.9992028259191823,-3.5571078368085427
0.1,2266.211413801975,3.2991515430199208,-5.955354640405682
0.1,2397.2566464102656,3.3864714952504777,-5.683837102343299
0.1,2682.9966586488094,3.530745742394045,-5.199310800087334
0.1,3218.388877988335,3.703256287971235,-4.537909176263623
0.1,3667.305562669614,3.8024772420296373,-4.112787526789157
0.1,3928.6186744607726,3.850778681063243,-3.896819461635703
0.1,4633.543766140959,3.993971472445799,-3.3236541894183222
0.1,2533.2541666020993,3.2660413945922415,-5.828711406273653
0.1,2708.826633288003,3.365114400347095,-5.514165879704828
0.1,2888.894939039315,3.443798590314609,-5.2448971439585765
0.1,3575.758723174411,3.628778584105031,-4.504577106259164
0.1,3833.3577214147667,3.6830409038806966,-4.274709856182023
0.1,4296.188281524593,3.7887102302444573,-3.8652945294152605
0.1,4539.036027067326,3.8403515046489485,-3.6669734672450165
0.1,3145.673539164476,3.317398945811203,-5.349733133769787
0.1,3430.183653636862,3.3982659273682136,-5.037222579098065
0.1,3950.2464555848055,3.539952365292379,-4.508488967184759
0.1,4197.225023762518,3.6002776739248317,-4.282863685808538
0.1,4443.782627159616,3.6613450638775884,-4.061573537297734
0.1,4662.507992844506,3.721530125888557,-3.857554701556273
0.1,4868.46148701905,3.778904277351658,-3.667787382909504
0.1,3962.7936770696087,3.3342582734388726,-4.914516566155081
0.1,5340.490275312034,3.7711615243725625,-3.5224705356506494
0.1,5950.014972941978,3.9343812293775224,-3.0084230167377743
0.1,5219.436068503907,3.555735266305537,-3.9934501462104155
0.1,6316.644875767042,3.876546594323421,-3.020445744749493
0.1,5496.037326213618,3.430932830415016,-4.153136660109665
0.1,5731.220258354723,3.5312509978587423,-3.879725412590199
0.1,6214.838023280778,3.6862623211878933,-3.429020161895645
0.1,6471.493979712761,3.751684693859973,-3.2279847118656466
0.1,7096.134844909116,3.740566601500455,-3.0904950376564404
0.1,6526.575963376661,3.326694102942906,-4.062729079986534
0.1,7500.400225232959,3.653123894455157,-3.1688690086745677
0.1,7877.514901337173,3.5374199426624813,-3.3148732146445337
0.1,8236.998792334189,3.6328260558079615,-3.04628583536074
0.1,8164.657022121599,3.3518773061798326,-3.6235924098846244
0.1,8622.874649321446,3.4998941215057147,-3.232828710519046
1.0,803.5958287707983,3.777368075527413,-8.800119062208202
1.0,874.5520522848246,3.8296750942393807,-8.548885431583829
1.0,953.0685150677042,3.8757242887755643,-8.307189310935057
1.0,1038.6232070902515,3.9170385736021984,-8.075079294786873
1.0,1133.3472643390644,3.954561326013403,-7.848460740354815
1.0,1223.5049451302566,3.9953215652191068,-7.633933877736704
1.0,1310.9742028268033,4.040797612591845,-7.422922695017933
1.0,1395.978045182442,4.086956880844912,-7.221707511155637
1.0,1478.6268043540904,4.1332608767485555,-7.029650593720435
1.0,1673.9654203463476,4.227648352384542,-6.62527314049259
1.0,2108.347889589533,4.417152979460033,-5.8452916803002655
1.0,2296.426421500043,4.508426372327358,-5.514318809128325
1.0,2751.349587161558,4.68765778319044,-4.84138575420859
1.0,3022.660322210479,4.776437835075839,-4.500447078164838
1.0,3381.661573489558,4.864728837343969,-4.1297227337629625
1.0,4092.142271339024,5.005486440574388,-3.5162524036435396
1.0,948.025149106071,3.7348362237523114,-8.598386604609198
1.0,1048.0128624634413,3.7904864417684943,-8.312537342523507
1.0,1221.498615934453,3.864086882359336,-7.8997956653449375
1.0,1316.0238684286355,3.9089450617726063,-7.680148897655906
1.0,1424.0656097220312,3.961545835189045,-7.437981280168502
1.0,1536.0603235811193,4.0159247835948175,-7.197926779619776
