"#Xi","#Rho","#Lumi","#Mass","#Temp","#G","#Gbp-Grp","#Rad","#O2S","#O2L","#H1S","#N2S","#N2L","#S2S","#S2L","#S3S","#S3L","#Halpha","#Hbeta","#HaNII","#HaSII","#SS"
"-18.517539583701883","-10.276359361583042","-5.679289214522477","16.672723377584997","4.012795058145413","26.942677929710197","1.2582931321755666","9.463669068134386","-6.988429556402722","-7.758204568704802","-1.3739677521709812","-6.004803708402821","-6.063938883390011","-8.588380294036769","-6.22767829327708","-5.009883233932095","-5.366228653917444","-0.29705275381844415","1.4056195228433532","5.435282814442697","5.928736949512638","-2.3607020007596895"
"-19.002726117692074","-13.276359361583042","-9.012501811994731","13.82500460935288","4.106428894793411","37.26615431322675","1.3377467202573783","9.055569440060989","-6.058488567365597","-6.9222688203476075","-1.4527176920366969","-5.1720494716973695","-5.055961719945582","-5.617622696531886","-5.092965047516583","-5.731422028117157","-6.192397330083505","0.256717745977487","1.342264726835412","5.065826029055318","5.236149311176124","-0.5246576490153033"
"-19.284182909725388","-8.776359361583042","-5.09279326139991","18.025659883294338","3.907814293676757","25.081378069583508","1.234471869011017","9.56437012251532","-8.260427655549908","-7.366026844210326","-1.7622050067260775","-6.401209493236885","-7.18111458540599","-6.0117532766246216","-6.323306390375134","-5.9730583720409705","-6.751291264399082","-0.07432700607875947","1.4052267974599388","6.260185813138429","5.764814463241249","0.3115531137505118"
"-19.284182909725388","-8.776359361583042","-5.09279326139991","18.025659883294338","3.907814293676757","25.081378069583508","1.234471869011017","9.56437012251532","-8.260427655549908","-7.366026844210326","-1.7622050067260775","-6.401209493236885","-7.18111458540599","-6.0117532766246216","-6.323306390375134","-5.9730583720409705","-6.751291264399082","-0.07432700607875947","1.4052267974599388","6.260185813138429","5.764814463241249","0.3115531137505118"
"-18.57883986020433","-14.276359361583042","-13.796766780454108","8.575120373286987","4.212773373519913","49.90403861244026","1.1505909774920795","7.423245873936808","-5.363813104801276","-6.372326968233384","-1.062431961399617","-6.1555228242543185","-5.9931062920521","-6.304518323509803","-6.045419837256243","-4.901356274182943","-5.100398340853878","-0.4744369417299331","1.2406241201872594","5.2912989338912775","5.380459925123685","-0.2590984862535599"
"-18.502699595224183","-13.776359361583042","-9.489783304062485","12.846893432839803","4.160498543522346","38.8337602304749","1.2364372372628196","8.72713442376049","-6.225921199247481","-6.057297631111332","-2.309803919971486","-5.331148351917482","-5.490797477668897","-6.171984935776023","-6.517555208081735","-5.107015449289284","-6.118843678924437","-0.6270879970298935","1.3347351471318334","4.475559868625793","5.383150815251328","0.3455702723057116"
"-22.0027180336904","-15.276359361583042","-14.043533426909542","11.793940016197615","4.066176785772006","50.41582143047806","0.9909838768613781","9.161517733138682","-3.7520267336381936","-3.7126462272852536","-1.4303920324531756","-3.2447351085877534","-2.279014255846261","-2.38605252321965","-2.6259852597080884","-5.54882784248746","-6.130768280269024","-0.010105436281226938","1.2262131207241074","2.224285607489001","2.17852066666488","0.2399327364884382"
"-23.503949704485986","-16.27635936158304","-16.568239621544414","10.77043902713609","4.04941186087108","56.09747849817283","0.9465864191295026","9.205880729887538","-2.17789733135308","-2.0784175596065837","-1.6239708182718198","-2.129596094720973","-1.0055068771164877","-1.2229358452575705","-1.2612194415156308","-5.5486741915104805","-4.281083313985139","-0.5831931281770556","1.1528079634190636","0.39084596196656535","0.3574328127569867","0.038283596258060354"
"-18.78886866798796","-7.776359361583042","-3.639955623822485","18.983154626577935","3.8721854190509046","21.315459914028757","1.1752484309767226","9.559248104088253","-7.052419250695677","-7.214812579970638","-1.8664610916297826","-6.041245050130911","-6.201832940284061","-6.472756883611911","-7.507239610973162","-5.400881434944637","-6.765229704839084","-0.36957212497497616","1.4211430670716652","5.443556260660489","6.064816150122965","1.0344827273612511"
"-23.50510350388343","-15.276359361583042","-15.625066044756837","11.714691795500269","4.013300786856888","53.48517628611239","0.9610196475396791","9.2500538695218","-2.6453154460452715","-3.1285438259770464","-1.6377060620357689","-2.4047242881979005","-3.2479515521805613","-1.1082395985433284","-1.3939412505896855","-6.2826624172761365","-5.182963773949971","-0.341035157335565","1.178660458538169","2.005462895701502","0.585943388304696","0.2857016520463571"
"-22.005055549665805","-13.276359361583042","-12.157093738554366","13.68257186112698","3.9920053335968495","45.7311105961909","1.243239231821704","9.267758216651366","-5.078313524516398","-5.068643849532072","-1.5880437620695984","-4.116679321617025","-3.002613615602687","-5.5376020021010435","-2.436756298859602","-6.462306805632609","-6.147581007062999","-0.22650610772902932","1.2679691586850943","2.743931562909723","2.2099060262797257","-3.100845703241442"
"-18.506970343517654","-10.776359361583042","-6.123129083310333","16.218429553253365","4.032135046879902","28.08331783922145","1.2319330190192908","9.435923958119165","-7.18455508375565","-7.047207556955908","-1.301290650557413","-6.518557371497695","-6.075204004202088","-7.767003889607846","-7.346690987061521","-5.207048291749868","-5.730954290342377","-0.21538270736712464","1.4049533875862443","5.72619126817587","6.991455763387324","-0.420312902546325"
"-17.997541843289326","-13.276359361583042","-9.195603223354404","12.636734724273186","4.1604685311190375","40.614056322832205","1.0256873880461725","8.739967696759509","-6.205233202059179","-6.97469413473523","-1.6031035508574762","-6.205093893483196","-5.0211350156523435","-7.186619193266145","-7.289036881004725","-3.0762380391712996","-3.784891418946907","-0.5003129173815962","1.317059958740005","4.493280947187931","6.4334730071471595","0.10241768773857994"
"-23.505355385282208","-14.776359361583042","-15.158527991482345","12.18143857347369","3.99084479280467","52.14347379029306","0.9971106268798451","9.268694953562179","-3.5054280157698012","-3.366632554882993","-1.6959405337824007","-2.4203307064452795","-3.170053304058364","-1.085762652232259","-1.708409174341999","-6.450016388840311","-5.2424521465307565","-0.22083657623550124","1.1903036782675815","2.128370384112568","0.7720560407904413","0.6226465221097399"
