"#Zeta","#Rho","#Lumi","#Mass","#Temp","#G","#Gbp-Grp","#Rad","#O2S","#O2L","#H1S","#N2S","#N2L","#S2S","#S2L","#S3S","#S3L","#Halpha","#Hbeta","HaNII","HaSII","SS"
"-21.5","-14.776","-13.0409639511552","12.2937896172479","4.06634303722317","48.0863595696521","1.06486930751744","9.15904794556062","-4.33258000992575","-4.23258793815283","-1.38948597027028","-3.66581998322433","-2.75162367524442","-2.91491322605735","-3.3130215134365","-5.55639198109024","-6.02612118932148","-0.0234394199327005","1.25087414709162","2.67795180360324","2.67795180360324","0.398108287379154"
"-21.0","-14.776","-12.5233886233375","12.3113825215143","4.08622854542768","46.9014288503642","1.12807791387919","9.10874798698981","-4.58344250623177","-4.48170204299238","-1.34317872613886","-3.77056222979667","-3.12584347256788","-3.45201514197827","-4.09175417854174","-4.85322142118108","-5.0678877264906","-0.105298960015969","1.26511455483281","2.9234303765511","2.9234303765511","0.639739036563472"
"-20.5","-14.776","-12.0092004664526","12.325583267676","4.1061257329276","45.6087998099555","1.13622646074489","9.05543855849972","-6.09373682803643","-4.86240789842595","-1.29953378293684","-4.38535090034866","-3.73374978433948","-4.80553408588082","-4.3802031602546","-4.64343758447575","-6.38132245215771","-0.20632834075151","1.27839838676298","3.43995238980938","3.43995238980938","-0.425330925626221"
"-20.0","-14.776","-11.5534085460256","12.2813002123372","4.13048069293588","44.4095526321595","1.14032066933968","8.96908099518892","-4.2899512390738","-5.13525678289355","-1.30979349344171","-4.41566080481463","-4.01114307629541","-4.59736214545881","-4.07955927708969","-4.65751318649676","-5.10726740659261","-0.331763467224843","1.28987614146241","3.53506129274366","3.53506129274366","-0.51780286836912"
"-19.5","-14.776","-11.3132275799463","12.0210570350891","4.16067292078919","43.7259371121619","1.1410098151903","8.80169094480755","-5.34007680276771","-5.08416668800496","-1.43916334997725","-4.34247779078027","-4.53271816799426","-5.12678285088043","-5.32257111402865","-4.05355935677129","-5.119196516426","-0.498140134822097","1.29636933658228","3.62744063522214","3.62744063522214","0.19578826314822"
"-24.0","-14.276","-15.2334757119512","12.6010273185236","3.93510235008683","51.4959000658188","1.01377656406615","9.30187905312904","-3.81478658618562","-4.41489124119046","-2.08751560092578","-3.39500122522289","-3.17572135776323","-1.7760243426701","-1.02077214333178","-7.38056903673679","-6.12518887256738","-1.52291685666952","1.18266937000946","1.44731999496945","1.44731999496945","-0.755252199338322"
"-23.5","-14.276","-14.6896492989031","12.6449130950065","3.96544369668973","50.7542579105306","1.0354732480912","9.28616590369608","-3.60122202027709","-3.60991753848176","-1.81111064612115","-3.07869269642506","-2.5052202398616","-1.89936034912816","-1.2282271051941","-6.79885076336331","-6.12669040919936","-0.109957510465134","1.20133501860129","2.29219835986839","2.29219835986839","-0.671133243934061"
"-23.0","-14.276","-14.1513333362088","12.6832785909532","3.99134469200524","49.9338129137083","1.04229866422325","9.268176903837","-4.09381042704371","-4.09348273537457","-1.6678157378531","-3.15227760869272","-2.18758467137536","-2.09177643749563","-1.49050153838146","-6.33138947360091","-5.39829323210745","-0.233570557513353","1.21799026584831","1.90781826432418","1.90781826432418","-0.601274899114168"
"-22.5","-14.276","-13.6221436614832","12.7125041617131","4.01156766656452","49.0145814673604","1.05478155193041","9.24420160839817","-3.75960356334969","-5.17481500631877","-1.58090053851565","-3.57293685184788","-2.95315427447976","-2.8459798207832","-2.33766304138988","-5.72012132375321","-5.56518149137118","-0.414183598628738","1.23276768342578","2.42840941086366","2.42840941086366","-0.508316779393321"
"-22.0","-14.276","-13.0908041439438","12.7438840141232","4.03307384379992","48.0229605887323","1.06612238476577","9.22195046601591","-3.67962192154905","-4.94766378429858","-1.47416335000489","-4.03941832146437","-3.01723414487206","-2.64732912899706","-2.81515695680142","-5.1083080675502","-5.21086949593956","-0.597787516959223","1.24727546013112","2.36418697873387","2.36418697873387","0.167827827804356"
"-21.5","-14.276","-12.5659351568697","12.7687856025258","4.04972509954952","46.9506851771009","1.11454030985351","9.19031300729399","-4.26654355677468","-4.6186873345322","-1.41239444775282","-4.24379498155414","-3.07419896175481","-3.0304976401727","-3.33681342276944","-5.31452907556899","-5.62436392245865","-0.321474042077889","1.26146866259087","2.71956993988742","2.71956993988742","0.306315782596746"
"-21.0","-14.276","-12.0415892090676","12.7931623771705","4.0664192982085","45.7630139535114","1.13791150349068","9.15678478556768","-4.91553325237625","-4.75079683966955","-1.34911531722627","-4.08778217482357","-3.22408341367597","-3.43906396719777","-3.98358585362184","-5.56737182648398","-5.91707529912801","-0.0363595940923533","1.27543872838232","3.13184349233462","3.13184349233462","0.544521886424069"
"-20.5","-14.276","-11.5184573795943","12.8163214794454","4.08505266284851","44.4592601891824","1.14232039368047","9.11321210897491","-4.12715882985194","-5.19047795079041","-1.32862971313959","-4.17098406025806","-3.4252016765438","-4.61670883282319","-4.21718150174424","-5.09370293322116","-5.84385249978759","-0.117464087906425","1.28849291347283","3.23580018609813","3.23580018609813","-0.399527331078946"
"-20.0","-14.276","-11.0095254351941","12.8252573410264","4.10619646829194","43.1256566480666","1.14779738577346","9.05492385468449","-5.48421288455189","-5.27479841020282","-1.368780084252","-4.52388910460327","-4.10875446341221","-4.54298244506599","-4.04314898301107","-5.72286615614585","-5.27883170270504","-0.205006064882097","1.30090488710559","3.76243815877697","3.76243815877697","-0.499833462054917"
"-19.5","-14.276","-10.5591675063886","12.7754907591074","4.13040329671463","41.9036566475285","1.15402280020939","8.9668152987532","-5.14198922471196","-5.10563956137512","-1.55525890500515","-5.25452163750373","-4.95096754980049","-5.06056739785096","-5.11976704437578","-5.08066837344139","-5.83305554306804","-0.269022996830623","1.31170239896468","4.50662394663023","4.50662394663023","0.0591996465248208"
"-19.0","-14.276","-12.3154411211146","10.4966397663289","4.17509594037302","46.2434587031146","1.15218634831688","8.12930256773495","-5.2623862455421","-5.79327924763819","-1.28806538809885","-5.74341352549186","-5.51665715229733","-5.73575501180484","-5.62201575189848","-4.98347256430386","-5.43573932007385","-0.380409163993195","1.27314468741294","4.93257944039066","4.93257944039066","-0.11373925990636"
"-24.0","-13.776","-14.7826210898348","13.0518135396364","3.90146768364425","50.0458389097186","1.03307708260622","9.31535761100512","-3.00550674469408","-3.75744700077237","-2.85605552810228","-3.1952056183401","-2.02260083781022","-1.43459603678749","-1.85000117832433","-7.11985118133692","-6.0474578636495","-0.538960008426003","1.1915123484984","1.45529234820021","1.45529234820021","0.415405141536845"
"-23.5","-13.776","-14.229393596932","13.1051126110556","3.93839939911693","49.3787212460498","1.08658037362245","9.3018682917412","-3.13985374197998","-4.18924921451355","-2.03425870873245","-3.25562657220715","-2.47656047314315","-2.03031335109417","-1.23811168644671","-7.10344075252294","-6.71999087059614","-1.8155389873768","1.21115429974517","0.592507049418791","0.592507049418791","-0.792201664647454"
"-23.0","-13.776","-13.6874444080492","13.1471189347295","3.9663472507827","48.6599770176049","1.12929387514959","9.28614773760033","-4.22944139472608","-6.12979088340575","-1.78065979250851","-4.00566715660834","-3.86751826661398","-2.21512715635184","-2.46623539010676","-6.71050345173331","-6.10393544622509","-0.111100435745421","1.22825515649061","3.51798788945281","3.51798788945281","0.251108233754918"
"-22.5","-13.776","-13.1536492782467","13.1809579318693","3.99004814214338","47.7986955644885","1.14250375777286","9.26597307409331","-4.35635687936558","-5.45554471206237","-1.64944220048903","-3.89814329300361","-3.27249979561869","-3.53752563721023","-2.41339161653128","-6.29638619175968","-5.93843092500669","-0.251029237766994","1.2430496590602","2.8947876066924","2.8947876066924","-1.12413402067895"
