#Xi,#Rho,#Lumi,#Mass,#Temp,#G,#Gbp-Grp,#Rad,#O2S,#O2L,#H1S,#N2S,#N2L,#S2S,#S2L,#S3S,#S3L,#Halpha,#Hbeta,#HaNII,#HaSII,#SS
-22.50207927,-13.77635936,-12.73218835,14.6057113,3.937818685,45.62679012,1.08591261,9.802055006,-3.130592251,-4.179273237,-2.015922966,-3.243059764,-2.458920232,-2.747875447,-1.186152246,-7.055517328,-6.407046428,-2.026872146,1.249320677,0.365951726,-0.852473505,-1.561723202
-14.04156043,-9.776359362,-6.804822472,12.03690946,4.111598525,34.23667051,0.628094512,7.371067862,-10.06742478,-12.9788107,-1.178814117,-11.13786862,-10.95742449,-11.25003192,-11.27506909,-7.709742731,-8.127261173,-0.522300072,1.362482475,10.21501158,10.43904003,0.025037169
-21.5004346,-15.77635936,-13.54156632,12.79476754,4.065990289,48.92573289,0.910788944,9.660818063,-3.053646003,-3.142366015,-1.439017944,-2.363612414,-2.764976841,-2.353008463,-2.576754126,-6.256725476,-5.234033575,-0.008685302,1.238773502,2.20977473,2.14091355,0.223745664
-23.00218604,-15.77635936,-15.12186481,12.71618858,4.0129637,52.06173495,1.044391426,9.749929464,-2.60119227,-2.486516043,-1.633763876,-2.630227711,-1.605198223,-1.339798799,-0.036684489,-6.07443009,-5.364516253,-0.341511619,1.192539577,1.224510648,-0.325917403,-1.30311431
-21.5012076,-15.27635936,-13.06751285,13.2695828,4.049566869,47.69220507,0.920425757,9.692979037,-3.582030358,-3.008508111,-1.460798401,-2.398483216,-2.902048929,-2.623423043,-2.118672416,-5.487315604,-5.358823453,-0.955852379,1.249442961,1.324153795,1.044625608,-0.504750627
-22.00104415,-16.77635936,-15.01349153,11.82346522,4.084647761,52.53686586,0.942995548,9.630580411,-2.363311552,-3.105683937,-1.511590311,-2.062482108,-1.212185433,-1.307946635,-1.34804393,-5.845880474,-4.13768969,-0.02017857,1.20074109,1.134661352,1.006324121,0.040097296
-22.00130915,-15.77635936,-14.06726628,12.76993181,4.049528122,49.97254394,0.887770121,9.69605044,-2.213603539,-3.920456993,-1.492819023,-2.291324207,-2.454692884,-1.448550002,-1.86998805,-6.285921835,-5.201004266,-0.85667287,1.224014811,1.207668744,0.452334098,0.421438048
-20.49910081,-15.77635936,-12.50553596,12.82947498,4.105986796,46.67258494,1.06779525,9.559846801,-5.214670165,-3.886056648,-1.359518563,-3.493630283,-2.80106813,-3.599116784,-3.135192371,-5.119643801,-5.262489309,-0.167235695,1.266584447,2.553576627,2.839680944,-0.463924413
-22.00188752,-15.27635936,-13.5934765,13.24428915,4.032699327,48.70304519,0.908860703,9.722428242,-3.532243949,-3.841637508,-1.520856752,-2.003926346,-2.06093025,-1.775208044,-1.157141238,-6.008198201,-6.241845378,-0.572838597,1.23499788,1.15762511,0.490547141,-0.618066806
-22.0025119,-14.27635936,-12.65449727,14.18386864,3.991199485,46.18597438,1.040831033,9.768230991,-4.224025669,-4.099414413,-1.651889932,-3.162664132,-2.169668007,-2.063385738,-1.456056058,-7.130181792,-6.40329297,-0.238448011,1.255634266,1.889185906,1.121746868,-0.607329681
